actual,proposed
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.0,0.0
-0.5047553777694702,0.0
-0.5047553777694702,-0.5053594708442688
-0.5334346294403076,-0.5340632200241089
-0.6012148261070251,-0.5340632200241089
-0.6012148261070251,-0.6018946766853333
-0.6584733724594116,-0.6018946766853333
-0.6584733724594116,-0.6591885685920715
-0.6928284764289856,-0.6935611367225647
-0.7520512938499451,-0.6935611367225647
-0.7520512938499451,-0.7528067827224731
-0.8094598054885864,-0.7528067827224731
-0.8094598054885864,-0.8102280497550964
-0.8439049124717712,-0.84467613697052
-0.9013134241104126,-0.84467613697052
-0.9013134241104126,-0.9020812511444092
-0.9498987197875977,-0.9020812511444092
-0.9498987197875977,-0.9506551623344421
-0.9785101413726807,-0.9792559742927551
-1.0357328653335571,-0.9792559742927551
-1.0357328653335571,-1.03644859790802
-1.0955229997634888,-1.03644859790802
-1.0955229997634888,-1.096193790435791
-1.1242015361785889,-1.1248457431793213
-1.1758229732513428,-1.1248457431793213
-1.1758229732513428,-1.1764105558395386
-1.2197520732879639,-1.1764105558395386
-1.2197520732879639,-1.2202823162078857
-1.2425510883331299,-1.2430483102798462
-1.293849229812622,-1.2430483102798462
-1.293849229812622,-1.2942630052566528
-1.3500326871871948,-1.2942630052566528
-1.3500326871871948,-1.350340723991394
-1.3728179931640625,-1.37307870388031
-1.4183887243270874,-1.37307870388031
-1.4183887243270874,-1.4185467958450317
-1.460633635520935,-1.4185467958450317
-1.460633635520935,-1.4606870412826538
-1.4776839017868042,-1.4776921272277832
-1.5231510400772095,-1.4776921272277832
-1.5231510400772095,-1.5230315923690796
-1.5581316947937012,-1.5230315923690796
-1.5581316947937012,-1.557905912399292
-1.5751293897628784,-1.5748496055603027
-1.609125018119812,-1.5748496055603027
-1.609125018119812,-1.6087318658828735
-1.6443140506744385,-1.6087318658828735
-1.6443140506744385,-1.643796443939209
-1.6612657308578491,-1.660685420036316
-1.700819730758667,-1.660685420036316
-1.700819730758667,-1.7000864744186401
-1.7347230911254883,-1.7000864744186401
-1.7347230911254883,-1.7338508367538452
-1.7489067316055298,-1.7338508367538452
-1.7827565670013428,-1.7479742765426636
-1.7827565670013428,-1.7816749811172485
-1.8109647035598755,-1.7816749811172485
-1.8109647035598755,-1.809753179550171
-1.815612554550171,-1.814379096031189
