actual,proposed
-2.0302822589874268,-2.0302822589874268
-2.0302822589874268,-2.0302822589874268
-2.03008770942688,-2.03008770942688
-2.057595729827881,-2.057595729827881
-2.085103750228882,-2.085103750228882
-2.096106767654419,-2.096106767654419
-2.10052752494812,-2.10052752494812
-2.1331779956817627,-2.1331779956817627
-2.1331779956817627,-2.1331779956817627
-2.149503469467163,-2.149503469467163
-2.1505322456359863,-2.149503469467163
-2.1505322456359863,-2.1505322456359863
-2.1827099323272705,-2.1827099323272705
-2.2245476245880127,-2.2245476245880127
-2.2245476245880127,-2.2245476245880127
-2.2566323280334473,-2.2566323280334473
-2.2566323280334473,-2.2566323280334473
-2.283029794692993,-2.283029794692993
-2.283029794692993,-2.283029794692993
-2.3148858547210693,-2.3148858547210693
-2.325504779815674,-2.325504779815674
-2.318335771560669,-2.318335771560669
-2.3445022106170654,-2.3445022106170654
-2.3602020740509033,-2.3602020740509033
-2.359522581100464,-2.359522581100464
-2.385394811630249,-2.385394811630249
-2.3957433700561523,-2.3957433700561523
-2.405325412750244,-2.405325412750244
-2.405325412750244,-2.405325412750244
-2.435901403427124,-2.435901403427124
-2.435901403427124,-2.435901403427124
-2.4460935592651367,-2.4460935592651367
-2.4462757110595703,-2.4462757110595703
-2.4664928913116455,-2.4664928913116455
-2.4715471267700195,-2.4715471267700195
-2.4867100715637207,-2.4867100715637207
-2.4364168643951416,-2.4364168643951416
-2.4364168643951416,-2.4364168643951416
-2.4413390159606934,-2.4413390159606934
-2.461027145385742,-2.461027145385742
-2.4211599826812744,-2.4211599826812744
-2.425973415374756,-2.4211599826812744
-2.4356002807617188,-2.425973415374756
-2.4356002807617188,-2.4356002807617188
-2.3856430053710938,-2.3856430053710938
-2.3856430053710938,-2.3856430053710938
-2.4044275283813477,-2.3903391361236572
-2.4044275283813477,-2.4044275283813477
-2.3548953533172607,-2.3548953533172607
-2.3548953533172607,-2.3548953533172607
-2.359459161758423,-2.359459161758423
-2.377714157104492,-2.359459161758423
-2.362006902694702,-2.377714157104492
-2.362006902694702,-2.362006902694702
-2.3755040168762207,-2.3755040168762207
-2.3935000896453857,-2.3935000896453857
