actual,proposed
-1.8662023544311523,-1.1728757619857788
-1.8662023544311523,-1.1871181726455688
-1.8669610023498535,-1.1871181726455688
-1.8949096202850342,-1.187598705291748
-1.8949096202850342,-1.2052992582321167
-1.9228581190109253,-1.2052992582321167
-1.9228581190109253,-1.2229962348937988
-1.9345462322235107,-1.2229962348937988
-1.9625020027160645,-1.2303961515426636
-1.9625020027160645,-1.2480928897857666
-1.973684310913086,-1.255170464515686
-1.9749611616134644,-1.255170464515686
-1.9915574789047241,-1.2559785842895508
-1.9915574789047241,-1.2664817571640015
-2.0302822589874268,-1.2664817571640015
-2.0302822589874268,-1.2909842729568481
-2.03008770942688,-1.2909842729568481
-2.057595729827881,-1.2908612489700317
-2.057595729827881,-1.3082623481750488
-2.085103750228882,-1.3082623481750488
-2.085103750228882,-1.3256596326828003
-2.096106767654419,-1.3256596326828003
-2.10052752494812,-1.3326174020767212
-2.10052752494812,-1.3354127407073975
-2.1331779956817627,-1.3354127407073975
-2.1331779956817627,-1.3560552597045898
-2.149503469467163,-1.3560552597045898
-2.1505322456359863,-1.3663746118545532
-2.1505322456359863,-1.3670248985290527
-2.1827099323272705,-1.3670248985290527
-2.1827099323272705,-1.3873604536056519
-2.198798656463623,-1.3873604536056519
-2.2245476245880127,-1.3975261449813843
-2.2245476245880127,-1.4137930870056152
-2.2566323280334473,-1.4137930870056152
-2.2566323280334473,-1.4340578317642212
-2.272674798965454,-1.4340578317642212
-2.283029794692993,-1.4441882371902466
-2.283029794692993,-1.4507262706756592
-2.3148858547210693,-1.4507262706756592
-2.3148858547210693,-1.470836877822876
-2.325504779815674,-1.470836877822876
-2.318335771560669,-1.477539300918579
-2.318335771560669,-1.4730144739151
-2.3445022106170654,-1.4730144739151
-2.3445022106170654,-1.4895285367965698
-2.3602020740509033,-1.4895285367965698
-2.359522581100464,-1.4994351863861084
-2.359522581100464,-1.4990065097808838
-2.385394811630249,-1.5153290033340454
-2.3957433700561523,-1.5153290033340454
-2.405325412750244,-1.5218569040298462
-2.405325412750244,-1.5279005765914917
-2.435901403427124,-1.5279005765914917
-2.435901403427124,-1.5471826791763306
-2.4460935592651367,-1.553609013557434
-2.4462757110595703,-1.5537238121032715
-2.4664928913116455,-1.5537238121032715
-2.4664928913116455,-1.5664691925048828
-2.4715471267700195,-1.5664691925048828
-2.4867100715637207,-1.569655179977417
-2.4867100715637207,-1.5792123079299927
-2.4364168643951416,-1.5792123079299927
-2.4364168643951416,-1.5475077629089355
-2.461027145385742,-1.5506112575531006
-2.461027145385742,-1.5630236864089966
-2.4211599826812744,-1.5630236864089966
-2.4211599826812744,-1.5378870964050293
-2.425973415374756,-1.5378870964050293
-2.4356002807617188,-1.5409224033355713
-2.4356002807617188,-1.5469928979873657
-2.3856430053710938,-1.5469928979873657
-2.3856430053710938,-1.5154856443405151
-2.3903391361236572,-1.5154856443405151
-2.4044275283813477,-1.518447995185852
-2.4044275283813477,-1.527334451675415
-2.3548953533172607,-1.527334451675415
-2.3548953533172607,-1.4960867166519165
-2.359459161758423,-1.4960867166519165
-2.377714157104492,-1.4989663362503052
-2.377714157104492,-1.510483741760254
-2.362006902694702,-1.510483741760254
-2.362006902694702,-1.5005738735198975
-2.3935000896453857,-1.509089469909668
-2.3935000896453857,-1.5204418897628784
-2.374692678451538,-1.5204418897628784
-2.374692678451538,-1.508577585220337
-2.3835535049438477,-1.5141675472259521
-2.405705451965332,-1.5281404256820679
-2.392357587814331,-1.5281404256820679
-2.392357587814331,-1.519721269607544
-2.4010729789733887,-1.519721269607544
-2.418503522872925,-1.5252186059951782
-2.418503522872925,-1.5362117290496826
-2.43593430519104,-1.5362117290496826
-2.43593430519104,-1.5472034215927124
-2.386211395263672,-1.5472034215927124
-2.3989944458007812,-1.5158441066741943
-2.3989944458007812,-1.5239075422286987
-2.4032557010650635,-1.5239075422286987
-2.4032557010650635,-1.5265952348709106
-2.3497300148010254,-1.4928274154663086
-2.3497300148010254,-1.4928274154663086
-2.353895902633667,-1.4928274154663086
-2.353895902633667,-1.4954562187194824
-2.315530776977539,-1.4954562187194824
-2.319629192352295,-1.471243977546692
-2.319629192352295,-1.4738308191299438
-2.323727607727051,-1.4738308191299438
-2.323727607727051,-1.4764175415039062
-2.284560441970825,-1.4466314315795898
-2.284560441970825,-1.4516927003860474
-2.284560441970825,-1.4516927003860474
-2.284560441970825,-1.4516927003860474
-2.276702880859375,-1.4467315673828125
-2.2925684452056885,-1.456748604774475
-2.2925684452056885,-1.456748604774475
-2.232367753982544,-1.456748604774475
-2.243894577026367,-1.418732762336731
-2.243894577026367,-1.4260132312774658
-2.243894577026367,-1.4260132312774658
-2.243894577026367,-1.4260132312774658
-2.16860294342041,-1.4260132312774658
-2.1760170459747314,-1.3784458637237549
